 

stn;time;prestad0;tre005d0;rka150d0
DEM;20170101;971.1;-6.4;0.0
DEM;20170102;970.6;-3.3;2.2
DEM;20170103;974.7;-6.6;0.0
DEM;20170104;969.8;-2.4;0.8
DEM;20170105;974.7;-3.9;1.2
DEM;20170106;982.9;-14.6;0.0
DEM;20170107;980.7;-11.4;1.7
DEM;20170108;977.6;-1.4;2.5
DEM;20170109;973.8;-1.8;0.0
DEM;20170110;960.4;-1.0;2.2
DEM;20170111;964.0;0.1;0.4
DEM;20170112;960.3;3.7;2.7
DEM;20170113;955.6;0.0;6.4
DEM;20170114;963.7;-1.5;1.5
DEM;20170115;969.0;-4.2;1.7
DEM;20170116;970.2;-5.4;0.3
DEM;20170117;974.2;-4.7;0.0
DEM;20170118;976.2;-4.4;0.0
DEM;20170119;977.2;-4.5;0.0
DEM;20170120;977.0;-11.8;0.0
DEM;20170121;975.0;-11.8;0.0
DEM;20170122;971.8;-10.2;0.0
DEM;20170123;971.2;-10.2;0.0
DEM;20170124;973.1;-8.2;0.0
DEM;20170125;972.9;-7.5;0.0
DEM;20170126;970.3;-12.7;0.0
DEM;20170127;967.7;-9.5;0.0
DEM;20170128;967.8;-6.0;0.0
DEM;20170129;970.6;-4.5;0.0
DEM;20170130;965.5;-0.5;2.7
DEM;20170131;964.2;2.3;12.9
DEM;20170201;964.3;3.2;2.1
DEM;20170202;959.8;2.8;0.1
DEM;20170203;956.8;6.5;1.6
DEM;20170204;952.8;3.6;3.1
DEM;20170205;952.1;0.4;9.7
DEM;20170206;963.0;2.9;6.1
DEM;20170207;964.8;2.6;4.6
DEM;20170208;967.1;3.1;1.1
DEM;20170209;968.4;0.1;0.0
DEM;20170210;966.1;0.1;1.0
DEM;20170211;965.6;4.1;0.0
DEM;20170212;969.2;4.6;0.0
DEM;20170213;971.2;-0.3;0.0
DEM;20170214;976.0;0.5;0.0
DEM;20170215;982.0;2.4;0.0
DEM;20170216;979.4;4.7;0.0
DEM;20170217;975.3;4.1;2.5
DEM;20170218;973.6;1.3;0.0
DEM;20170219;972.7;2.7;0.0
DEM;20170220;972.2;5.3;0.0
