Datum;Pegel [m];Abfluss [l/min]
01.01.2014;0.20;2325.604
02.01.2014;0.20;2260.333
03.01.2014;0.20;2313.583
04.01.2014;0.20;2296.5
05.01.2014;0.20;2357.333
06.01.2014;0.20;2313.948
07.01.2014;0.21;2340
08.01.2014;0.20;2357.083
09.01.2014;0.20;2339.667
10.01.2014;0.20;2340.167
11.01.2014;0.20;2299.167
12.01.2014;0.20;2316.583
13.01.2014;0.21;2295
14.01.2014;0.20;2328.5
15.01.2014;0.20;2308.5
16.01.2014;0.20;2290.438
17.01.2014;0.20;2343.104
18.01.2014;0.20;2335.75
19.01.2014;0.20;2349
20.01.2014;0.20;2329.333
21.01.2014;0.20;2256.583
22.01.2014;0.20;2266.604
23.01.2014;0.20;2281.563
24.01.2014;0.20;2245.5
25.01.2014;0.20;2225.417
26.01.2014;0.20;2259.521
27.01.2014;0.20;2245.688
28.01.2014;0.20;2203.583
29.01.2014;0.20;2207.472
30.01.2014;0.20;2226.622
31.01.2014;0.20;2179.531
01.02.2014;0.20;2172.354
02.02.2014;0.20;2190.75
03.02.2014;0.20;2185.792
04.02.2014;0.20;2124.583
05.02.2014;0.20;2152.094
06.02.2014;0.20;2150.146
07.02.2014;0.20;2147.813
08.02.2014;0.20;2129.646
09.02.2014;0.20;2110.396
10.02.2014;0.20;2161.813
11.02.2014;0.20;2106.135
12.02.2014;0.20;2101.74
13.02.2014;0.20;2071.708
14.02.2014;0.20;2126.083
15.02.2014;0.20;2114.521
16.02.2014;0.20;2172.354
17.02.2014;0.20;2207.552
18.02.2014;0.20;2220.813
19.02.2014;0.20;2240.646
20.02.2014;0.20;2181.229
21.02.2014;0.20;2190.823
22.02.2014;0.20;2190.854
23.02.2014;0.20;2277.719
24.02.2014;0.20;2201.771
25.02.2014;0.20;2200.563
26.02.2014;0.20;2229.979
27.02.2014;0.20;2200.542
28.02.2014;0.20;2217.563
01.03.2014;0.20;2229.854
02.03.2014;0.20;2216.854
03.03.2014;0.20;2176.667
04.03.2014;0.20;2174.281
05.03.2014;0.20;2152.677
06.03.2014;0.20;2161.417
07.03.2014;0.20;2111.688
08.03.2014;0.20;2128.854
09.03.2014;0.20;2126.083
10.03.2014;0.20;2183.526
11.03.2014;0.20;2182.506
12.03.2014;0.20;2172.79
13.03.2014;0.20;2163.075
14.03.2014;0.20;2071.363
15.03.2014;0.20;2051.979
16.03.2014;0.20;2052.333
17.03.2014;0.20;2031.5
18.03.2014;0.20;1998.948
19.03.2014;0.20;2008.031
20.03.2014;0.20;1962.573
21.03.2014;0.20;1950.51
22.03.2014;0.20;1973.531
23.03.2014;0.20;1957.021
24.03.2014;0.20;1970.168
25.03.2014;0.20;1964.522
26.03.2014;0.20;1957.3
27.03.2014;0.20;1950.079
28.03.2014;0.20;1942.857
29.03.2014;0.20;1935.636
30.03.2014;0.19;1929.729
31.03.2014;0.20;1932
01.04.2014;0.20;1928.128
02.04.2014;0.20;1913.829
03.04.2014;0.20;1898.919
04.04.2014;0.20;1884.009
05.04.2014;0.20;1869.099
06.04.2014;0.20;1854.189
07.04.2014;0.19;1839.279
08.04.2014;0.19;1824.37
09.04.2014;0.19;1809.46
10.04.2014;0.19;1794.55
11.04.2014;0.19;1779.64
12.04.2014;0.19;1765.998
13.04.2014;0.19;1841.771
14.04.2014;0.19;1842
15.04.2014;0.19;1810.521
16.04.2014;0.19;1785.979
17.04.2014;0.19;1770.75
18.04.2014;0.19;1764.813
19.04.2014;0.19;1758.719
20.04.2014;0.19;1747.885
21.04.2014;0.19;1767.677
22.04.2014;0.19;1733.417
23.04.2014;0.19;1728.156
24.04.2014;0.19;1721.594
25.04.2014;0.19;1715.969
26.04.2014;0.19;1728.219
27.04.2014;0.19;1755.896
28.04.2014;0.19;1764.313
29.04.2014;0.19;1777.115
30.04.2014;0.19;1765.354
01.05.2014;0.19;1759.417
02.05.2014;0.19;1757.344
03.05.2014;0.19;1778.979
04.05.2014;0.19;1782.958
05.05.2014;0.19;1765.708
06.05.2014;0.19;1750.677
07.05.2014;0.19;1738.5
08.05.2014;0.19;1706.396
09.05.2014;0.19;1706.031
10.05.2014;0.19;1699.031
11.05.2014;0.19;1688.531
12.05.2014;0.19;1680.729
13.05.2014;0.19;1680.365
14.05.2014;0.19;1678.76
15.05.2014;0.19;1677.74
16.05.2014;0.19;1684.448
17.05.2014;0.19;1673.802
18.05.2014;0.19;1674.677
19.05.2014;0.19;1658.438
20.05.2014;0.19;1652.51
21.05.2014;0.19;1633.74
22.05.2014;0.19;1630.594
23.05.2014;0.19;1668.698
24.05.2014;0.19;1662.208
25.05.2014;0.19;1648.865
26.05.2014;0.19;1667.823
27.05.2014;0.19;1698.74
28.05.2014;0.19;1696.188
29.05.2014;0.19;1695.531
30.05.2014;0.19;1684.01
31.05.2014;0.19;1667.604
01.06.2014;0.19;1657.469
02.06.2014;0.19;1641.156
03.06.2014;0.19;1633.948
04.06.2014;0.19;1625.969
05.06.2014;0.19;1624.25
06.06.2014;0.19;1613.042
07.06.2014;0.19;1597.885
08.06.2014;0.19;1605.531
09.06.2014;0.19;1580.438
10.06.2014;0.19;1577.74
11.06.2014;0.19;1572.844
12.06.2014;0.19;1561.906
13.06.2014;0.19;1553
14.06.2014;0.19;1551.438
15.06.2014;0.19;1538.469
16.06.2014;0.19;1531.146
17.06.2014;0.19;1529.677
18.06.2014;0.19;1535.104
19.06.2014;0.19;1537.698
20.06.2014;0.19;1528.5
21.06.2014;0.18;1543.577
22.06.2014;0.18;1529.892
23.06.2014;0.18;1505.187
24.06.2014;0.19;1480.483
25.06.2014;0.19;1461.246
26.06.2014;0.18;1500.438
27.06.2014;0.18;1488.333
28.06.2014;0.18;1487.5
29.06.2014;0.19;1524.094
30.06.2014;0.18;1495.458
01.07.2014;0.18;1487.771
02.07.2014;0.18;1486.833
03.07.2014;0.18;1483.083
04.07.2014;0.18;1485.135
05.07.2014;0.19;1521.073
06.07.2014;0.19;1518
07.07.2014;0.18;1501.146
08.07.2014;0.19;1521.104
09.07.2014;0.19;1542.521
10.07.2014;0.19;1568.885
11.07.2014;0.19;1644.51
12.07.2014;0.19;1639.813
