 

stn;time;tso010d0;tso020d0;tso005d0
BAS;20170101;1.3;2.1;0.9
BAS;20170102;1.1;1.9;0.7
BAS;20170103;1.2;1.8;0.9
BAS;20170104;1.2;1.8;0.9
BAS;20170105;1.3;1.9;1.0
BAS;20170106;1.0;1.7;0.6
BAS;20170107;0.7;1.5;0.3
BAS;20170108;0.7;1.4;0.3
BAS;20170109;0.7;1.3;0.4
BAS;20170110;0.7;1.3;0.4
BAS;20170111;0.8;1.3;0.5
BAS;20170112;1.3;1.6;1.3
BAS;20170113;2.1;2.2;2.0
BAS;20170114;1.8;2.2;1.6
BAS;20170115;1.5;2.0;1.3
BAS;20170116;1.4;1.9;1.1
BAS;20170117;1.2;1.8;0.9
BAS;20170118;1.0;1.6;0.6
BAS;20170119;0.8;1.4;0.5
BAS;20170120;0.7;1.3;0.4
BAS;20170121;0.6;1.2;0.3
BAS;20170122;0.5;1.1;0.2
BAS;20170123;0.4;1.0;0.1
BAS;20170124;0.3;0.9;0.0
BAS;20170125;0.2;0.9;-0.1
BAS;20170126;0.2;0.8;-0.2
BAS;20170127;0.1;0.7;-0.2
BAS;20170128;0.1;0.6;-0.1
BAS;20170129;0.1;0.6;-0.1
BAS;20170130;0.1;0.6;-0.1
BAS;20170131;0.2;0.6;0.0
BAS;20170201;0.2;0.6;0.0
BAS;20170202;0.5;0.8;0.6
BAS;20170203;2.2;1.8;2.7
BAS;20170204;2.8;2.6;2.9
BAS;20170205;2.6;2.7;2.6
BAS;20170206;3.1;3.0;3.2
BAS;20170207;3.5;3.4;3.6
BAS;20170208;3.7;3.7;3.8
BAS;20170209;3.6;3.8;3.6
BAS;20170210;3.2;3.6;3.1
BAS;20170211;3.5;3.5;3.5
BAS;20170212;4.0;4.0;4.1
BAS;20170213;3.6;3.9;3.5
BAS;20170214;3.6;3.7;3.6
BAS;20170215;3.8;3.9;3.9
BAS;20170216;4.5;4.3;4.7
BAS;20170217;5.5;5.1;5.7
BAS;20170218;5.3;5.3;5.3
BAS;20170219;4.9;5.1;4.8
BAS;20170220;5.4;5.3;5.5
BAS;20170221;6.2;5.9;6.6
BAS;20170222;6.9;6.6;7.1
BAS;20170223;7.0;6.7;7.2
BAS;20170224;7.0;7.0;6.9
BAS;20170225;6.5;6.6;6.4
BAS;20170226;6.2;6.4;6.0
BAS;20170227;6.2;6.2;6.4
BAS;20170228;6.3;6.5;6.1
BAS;20170301;5.9;6.1;5.8
BAS;20170302;6.9;6.6;7.1
BAS;20170303;6.7;6.8;6.7
BAS;20170304;6.8;6.8;6.9
BAS;20170305;6.9;7.0;6.9
BAS;20170306;6.4;6.7;6.3
BAS;20170307;6.4;6.6;6.3
BAS;20170308;6.3;6.5;6.1
BAS;20170309;7.2;7.0;7.4
BAS;20170310;8.1;7.6;8.5
